Series Name,Series Code,Country Name,cca3,density_2020
Population density (people per sq. km of land area),EN.POP.DNST,Afghanistan,AFG,59.7522806371985
Population density (people per sq. km of land area),EN.POP.DNST,Albania,ALB,103.571131386861
Population density (people per sq. km of land area),EN.POP.DNST,Algeria,DZA,18.2436570559099
Population density (people per sq. km of land area),EN.POP.DNST,American Samoa,ASM,230.945
Population density (people per sq. km of land area),EN.POP.DNST,Andorra,AND,165.31914893617
Population density (people per sq. km of land area),EN.POP.DNST,Angola,AGO,26.8135766423358
Population density (people per sq. km of land area),EN.POP.DNST,Antigua and Barbuda,ATG,210.6
Population density (people per sq. km of land area),EN.POP.DNST,Argentina,ARG,16.580892611147
Population density (people per sq. km of land area),EN.POP.DNST,Armenia,ARM,98.5461187214612
Population density (people per sq. km of land area),EN.POP.DNST,Aruba,ABW,592.138888888889
Population density (people per sq. km of land area),EN.POP.DNST,Australia,AUS,3.33531231068042
Population density (people per sq. km of land area),EN.POP.DNST,Austria,AUT,108.057004362579
Population density (people per sq. km of land area),EN.POP.DNST,Azerbaijan,AZE,122.124736829369
Population density (people per sq. km of land area),EN.POP.DNST,"Bahamas, The",BHS,40.6064935064935
Population density (people per sq. km of land area),EN.POP.DNST,Bahrain,BHR,1882.12611464968
Population density (people per sq. km of land area),EN.POP.DNST,Bangladesh,BGD,1286.17155258508
Population density (people per sq. km of land area),EN.POP.DNST,Barbados,BRB,652.774418604651
Population density (people per sq. km of land area),EN.POP.DNST,Belarus,BLR,46.211212927382
Population density (people per sq. km of land area),EN.POP.DNST,Belgium,BEL,381.063540290621
Population density (people per sq. km of land area),EN.POP.DNST,Belize,BLZ,17.3135028496274
Population density (people per sq. km of land area),EN.POP.DNST,Benin,BEN,112.12418410784
Population density (people per sq. km of land area),EN.POP.DNST,Bermuda,BMU,1183.2037037037
Population density (people per sq. km of land area),EN.POP.DNST,Bhutan,BTN,20.2544834819088
Population density (people per sq. km of land area),EN.POP.DNST,Bolivia,BOL,11.0183347179913
Population density (people per sq. km of land area),EN.POP.DNST,Bosnia and Herzegovina,BIH,64.81263671875
Population density (people per sq. km of land area),EN.POP.DNST,Botswana,BWA,4.49314841282445
Population density (people per sq. km of land area),EN.POP.DNST,Brazil,BRA,25.5076253807665
Population density (people per sq. km of land area),EN.POP.DNST,British Virgin Islands,VGB,206.066666666667
Population density (people per sq. km of land area),EN.POP.DNST,Brunei Darussalam,BRN,83.8187855787476
Population density (people per sq. km of land area),EN.POP.DNST,Bulgaria,BGR,63.8726510685335
Population density (people per sq. km of land area),EN.POP.DNST,Burkina Faso,BFA,78.6645687134503
Population density (people per sq. km of land area),EN.POP.DNST,Burundi,BDI,475.865537383178
Population density (people per sq. km of land area),EN.POP.DNST,Cabo Verde,CPV,144.575682382134
Population density (people per sq. km of land area),EN.POP.DNST,Cambodia,KHM,92.8895309313392
Population density (people per sq. km of land area),EN.POP.DNST,Cameroon,CMR,56.040885532356
Population density (people per sq. km of land area),EN.POP.DNST,Canada,CAN,4.23922642012405
Population density (people per sq. km of land area),EN.POP.DNST,Cayman Islands,CYM,280.4625
Population density (people per sq. km of land area),EN.POP.DNST,Central African Republic,CAF,8.5765514141706
Population density (people per sq. km of land area),EN.POP.DNST,Chad,TCD,13.2184728398983
Population density (people per sq. km of land area),EN.POP.DNST,Channel Islands,CHI,..
Population density (people per sq. km of land area),EN.POP.DNST,Chile,CHL,25.9576117773008
Population density (people per sq. km of land area),EN.POP.DNST,China,CHN,149.723552558882
Population density (people per sq. km of land area),EN.POP.DNST,Colombia,COL,45.9041568273997
Population density (people per sq. km of land area),EN.POP.DNST,Comoros,COM,433.189682966147
Population density (people per sq. km of land area),EN.POP.DNST,"Congo, Dem. Rep.",COD,40.9577045058556
Population density (people per sq. km of land area),EN.POP.DNST,"Congo, Rep.",COG,16.6974348462665
Population density (people per sq. km of land area),EN.POP.DNST,Costa Rica,CRI,100.33499804152
Population density (people per sq. km of land area),EN.POP.DNST,Cote d'Ivoire,CIV,84.3138050314465
Population density (people per sq. km of land area),EN.POP.DNST,Croatia,HRV,72.3316654753395
Population density (people per sq. km of land area),EN.POP.DNST,Cuba,CUB,108.869922928709
Population density (people per sq. km of land area),EN.POP.DNST,Curacao,CUW,348.97972972973
Population density (people per sq. km of land area),EN.POP.DNST,Cyprus,CYP,133.932575757576
Population density (people per sq. km of land area),EN.POP.DNST,Czechia,CZE,138.575928842168
Population density (people per sq. km of land area),EN.POP.DNST,Denmark,DNK,145.7851
Population density (people per sq. km of land area),EN.POP.DNST,Djibouti,DJI,47.0300258843831
Population density (people per sq. km of land area),EN.POP.DNST,Dominica,DMA,95.9933333333333
Population density (people per sq. km of land area),EN.POP.DNST,Dominican Republic,DOM,227.689174084041
Population density (people per sq. km of land area),EN.POP.DNST,Ecuador,ECU,70.8189523272669
Population density (people per sq. km of land area),EN.POP.DNST,"Egypt, Arab Rep.",EGY,107.956335325732
Population density (people per sq. km of land area),EN.POP.DNST,El Salvador,SLV,303.703233590734
Population density (people per sq. km of land area),EN.POP.DNST,Equatorial Guinea,GNQ,56.9001426024955
Population density (people per sq. km of land area),EN.POP.DNST,Eritrea,ERI,29.3774260253951
Population density (people per sq. km of land area),EN.POP.DNST,Estonia,EST,31.0999298245614
Population density (people per sq. km of land area),EN.POP.DNST,Eswatini,SWZ,68.6427325581395
Population density (people per sq. km of land area),EN.POP.DNST,Ethiopia,ETH,103.840062771756
Population density (people per sq. km of land area),EN.POP.DNST,Faroe Islands,FRO,38.3711566617862
Population density (people per sq. km of land area),EN.POP.DNST,Fiji,FJI,50.3788724685276
Population density (people per sq. km of land area),EN.POP.DNST,Finland,FIN,18.1928768835954
Population density (people per sq. km of land area),EN.POP.DNST,France,FRA,123.404699419421
Population density (people per sq. km of land area),EN.POP.DNST,French Polynesia,PYF,86.9835782195333
Population density (people per sq. km of land area),EN.POP.DNST,Gabon,GAB,8.89732215624636
Population density (people per sq. km of land area),EN.POP.DNST,"Gambia, The",GMB,254.34733201581
Population density (people per sq. km of land area),EN.POP.DNST,Georgia,GEO,65.1302704783232
Population density (people per sq. km of land area),EN.POP.DNST,Germany,DEU,238.017318755545
Population density (people per sq. km of land area),EN.POP.DNST,Ghana,GHA,141.431796706412
Population density (people per sq. km of land area),EN.POP.DNST,Gibraltar,GIB,3270.9
Population density (people per sq. km of land area),EN.POP.DNST,Greece,GRC,82.999216446858
Population density (people per sq. km of land area),EN.POP.DNST,Greenland,GRL,0.137329760019491
Population density (people per sq. km of land area),EN.POP.DNST,Grenada,GRD,363.714705882353
Population density (people per sq. km of land area),EN.POP.DNST,Guam,GUM,313.390740740741
Population density (people per sq. km of land area),EN.POP.DNST,Guatemala,GTM,157.319270250093
Population density (people per sq. km of land area),EN.POP.DNST,Guinea,GIN,53.7406519615823
Population density (people per sq. km of land area),EN.POP.DNST,Guinea-Bissau,GNB,71.6866287339972
Population density (people per sq. km of land area),EN.POP.DNST,Guyana,GUY,4.04979425958852
Population density (people per sq. km of land area),EN.POP.DNST,Haiti,HTI,410.261284470247
Population density (people per sq. km of land area),EN.POP.DNST,Honduras,HND,90.4617302708017
Population density (people per sq. km of land area),EN.POP.DNST,"Hong Kong SAR, China",HKG,7124.7619047619
Population density (people per sq. km of land area),EN.POP.DNST,Hungary,HUN,106.839239535393
Population density (people per sq. km of land area),EN.POP.DNST,Iceland,ISL,3.63446394922146
Population density (people per sq. km of land area),EN.POP.DNST,India,IND,469.659566660725
Population density (people per sq. km of land area),EN.POP.DNST,Indonesia,IDN,144.796388212316
Population density (people per sq. km of land area),EN.POP.DNST,"Iran, Islamic Rep.",IRN,53.7998107858243
Population density (people per sq. km of land area),EN.POP.DNST,Iraq,IRQ,98.0286551431836
Population density (people per sq. km of land area),EN.POP.DNST,Ireland,IRL,72.3672811728843
Population density (people per sq. km of land area),EN.POP.DNST,Isle of Man,IMN,147.449122807018
Population density (people per sq. km of land area),EN.POP.DNST,Israel,ISR,425.836414048059
Population density (people per sq. km of land area),EN.POP.DNST,Italy,ITA,200.999100491348
Population density (people per sq. km of land area),EN.POP.DNST,Jamaica,JAM,260.428070175439
Population density (people per sq. km of land area),EN.POP.DNST,Japan,JPN,346.395061728395
Population density (people per sq. km of land area),EN.POP.DNST,Jordan,JOR,123.079498614771
Population density (people per sq. km of land area),EN.POP.DNST,Kazakhstan,KAZ,6.94731488683928
Population density (people per sq. km of land area),EN.POP.DNST,Kenya,KEN,91.3409354464631
Population density (people per sq. km of land area),EN.POP.DNST,Kiribati,KIR,156.127160493827
Population density (people per sq. km of land area),EN.POP.DNST,"Korea, Dem. People's Rep.",PRK,214.828228552446
Population density (people per sq. km of land area),EN.POP.DNST,"Korea, Rep.",KOR,531.109006147541
Population density (people per sq. km of land area),EN.POP.DNST,Kosovo,XKX,..
Population density (people per sq. km of land area),EN.POP.DNST,Kuwait,KWT,244.693827160494
Population density (people per sq. km of land area),EN.POP.DNST,Kyrgyz Republic,KGZ,34.3060479666319
Population density (people per sq. km of land area),EN.POP.DNST,Lao PDR,LAO,31.7131672443674
Population density (people per sq. km of land area),EN.POP.DNST,Latvia,LVA,30.5391129680219
Population density (people per sq. km of land area),EN.POP.DNST,Lebanon,LBN,553.560410557185
Population density (people per sq. km of land area),EN.POP.DNST,Lesotho,LSO,74.2457180500659
Population density (people per sq. km of land area),EN.POP.DNST,Liberia,LBR,52.8196013289037
Population density (people per sq. km of land area),EN.POP.DNST,Libya,LBY,3.78163724609841
Population density (people per sq. km of land area),EN.POP.DNST,Liechtenstein,LIE,242.225
Population density (people per sq. km of land area),EN.POP.DNST,Lithuania,LTU,44.6324656659214
Population density (people per sq. km of land area),EN.POP.DNST,Luxembourg,LUX,244.874264894386
Population density (people per sq. km of land area),EN.POP.DNST,"Macao SAR, China",MAC,20555.7142857143
Population density (people per sq. km of land area),EN.POP.DNST,Madagascar,MDG,48.5135390168443
Population density (people per sq. km of land area),EN.POP.DNST,Malawi,MWI,205.526739499364
Population density (people per sq. km of land area),EN.POP.DNST,Malaysia,MYS,101.05004717699
Population density (people per sq. km of land area),EN.POP.DNST,Maldives,MDV,1714.79333333333
Population density (people per sq. km of land area),EN.POP.DNST,Mali,MLI,17.3940451896836
Population density (people per sq. km of land area),EN.POP.DNST,Malta,MLT,1610.4125
Population density (people per sq. km of land area),EN.POP.DNST,Marshall Islands,MHL,241.183333333333
Population density (people per sq. km of land area),EN.POP.DNST,Mauritania,MRT,4.36461045891142
Population density (people per sq. km of land area),EN.POP.DNST,Mauritius,MUS,623.652216748769
Population density (people per sq. km of land area),EN.POP.DNST,Mexico,MEX,64.8156084261426
Population density (people per sq. km of land area),EN.POP.DNST,"Micronesia, Fed. Sts.",FSM,160.151428571429
Population density (people per sq. km of land area),EN.POP.DNST,Moldova,MDA,91.7473260542588
Population density (people per sq. km of land area),EN.POP.DNST,Monaco,MCO,18215.0962012827
Population density (people per sq. km of land area),EN.POP.DNST,Mongolia,MNG,2.1151336184565
Population density (people per sq. km of land area),EN.POP.DNST,Montenegro,MNE,46.1937546468401
Population density (people per sq. km of land area),EN.POP.DNST,Morocco,MAR,82.2065247591306
Population density (people per sq. km of land area),EN.POP.DNST,Mozambique,MOZ,39.6478025890791
Population density (people per sq. km of land area),EN.POP.DNST,Myanmar,MMR,81.8533071843351
Population density (people per sq. km of land area),EN.POP.DNST,Namibia,NAM,3.02335507536834
